timestamp,id,evento,usuarie,estado,texto-ingresado,respuesta,nivel,tiempo-partida,genero
1655999014,a02db774-dd28-413d-9e86-73e2ce723f95,inicio_partida,Isidro,,-,-,Normal,,Masculino
1655999015,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,Jonas Brix-Damborg,Ramiro Macagno,Normal,,Masculino
1655999016,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,Markus Schubert,Luis Paz,Normal,,Masculino
1655999016,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,Zhang Lingfeng,Adam Lallana,Normal,,Masculino
1655999016,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,Giovanni Zwikstra,Aaron Lewis,Normal,,Masculino
1655999017,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,Thomas Rogne,Ishak Belfodil,Normal,,Masculino
1655999017,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,error,David Henen,Denilson Gonzáles,Normal,,Masculino
1655999018,a02db774-dd28-413d-9e86-73e2ce723f95,intento,Isidro,finalizada,,,Normal,3,Masculino
1655999020,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,inicio_partida,Isidro,,-,-,Normal,,Masculino
1655999021,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,error,Serge-Junior Martinsson Ngouali,João Cancelo,Normal,,Masculino
1655999021,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,error,Dominik Stahl,Ryan Clampin,Normal,,Masculino
1655999022,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,error,Dodô,Luke Ivanovic,Normal,,Masculino
1655999022,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,error,Tom Dele-Bashiru,Byron Saavedra,Normal,,Masculino
1655999023,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,error,George Maluleka,Simone Palombi,Normal,,Masculino
1655999030,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,timeout,-,Tsuyoshi Kodama,Normal,,Masculino
1655999031,0b1aac5c-1187-4d20-8a30-9b0afc5f911d,intento,Isidro,finalizada,,,Normal,10,Masculino
1655999035,d3e95a65-ef60-4e2d-a6eb-5a37d0e67a14,inicio_partida,Roberta,,-,-,Normal,,Femenino
1655999036,d3e95a65-ef60-4e2d-a6eb-5a37d0e67a14,intento,Roberta,error,"Tair, Jebel at (Red Sea)",Merapi (Java),Normal,,Femenino
